Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2022 Nissan Micra 66kW Turbo Acenta Plus,,R 299 900,R            5 708     p/m,9 000 km,Used Car,Manual
2022 Aston Martin DBS Superleggera DBS Superleggera Coupe,"Melrose North, Johannesburg",R 6 799 999,R            129 432     p/m,135 km,Used Car,Automatic
2021 BMW X5 M50i,"Benoni Industrial, Benoni",R 6 499 999,R            123 721     p/m,400 km,Used Car,Automatic
2021 Lamborghini Urus Urus,"Bedfordview, Bedfordview",R 6 499 999,R            123 721     p/m,3 500 km,Used Car,Automatic
2021 BMW X5 M50i,"Morningside, Sandton",R 6 499 995,R            123 721     p/m,200 km,Used Car,Automatic
,,,,200 km,Used Car,Automatic
2018 McLaren 720S Coupe,"Melrose North, Johannesburg",R 6 299 999,R            119 915     p/m,7 000 km,Used Car,Automatic
2019 McLaren 720S Coupe,"Morningside, Sandton",R 6 299 995,R            119 915     p/m,1 600 km,Used Car,Automatic
2020 Lamborghini Urus Urus,"Lonehill, Sandton",R 6 299 900,R            119 913     p/m,11 000 km,Used Car,Automatic
2019 McLaren 720S Coupe,"Morningside, Sandton",R 6 149 900,R            117 058     p/m,6 200 km,Used Car,Automatic
2020 Lamborghini Urus Urus,"Kramerville, Sandton",R 6 099 000,R            116 089     p/m,17 000 km,Used Car,Automatic
2020 Aston Martin DBS Superleggera DBS Superleggera Coupe,"Melrose North, Johannesburg",POA,,4 500 km,Used Car,Automatic
2019 BMW X5 M50d,,R 2 750 000,R            52 344     p/m,48 500 km,Used Car,Automatic
2022 Toyota Fortuner 2.8GD-6 VX,,R 1 999 900,R            38 066     p/m,45 km,Used Car,Automatic
2022 Toyota Fortuner 2.8GD-6 Auto,,R 1 899 900,R            36 163     p/m,150 km,Used Car,Automatic
2021 Mercedes-AMG G-Class G63,"Benoni Industrial, Benoni",POA,,2 700 km,Used Car,Automatic
2017 Ferrari 488 Spider,"Morningside, Sandton",R 5 999 995,R            114 204     p/m,3 000 km,Used Car,Automatic
2018 Bentley Mulsanne Mulsanne,"Morningside, Sandton",R 5 999 995,R            114 204     p/m,28 000 km,Used Car,Automatic
2019 Ferrari 488 Spider,"Morningside, Sandton",R 5 999 995,R            114 204     p/m,4 500 km,Used Car,Automatic
2016 Ferrari 488 488 GTB,"Morningside, Sandton",R 5 999 995,R            114 204     p/m,9 000 km,Used Car,Automatic
2020 Lamborghini Huracan Evo Coupe,"Morningside, Sandton",R 5 999 995,R            114 204     p/m,4 000 km,Used Car,Automatic
2017 Ferrari 488 Spider,"Paulshof, Sandton",R 5 999 950,R            114 204     p/m,1 700 km,Used Car,Automatic
2021 Bentley Flying Spur W12,"Birnam, Johannesburg",R 5 995 000,R            114 109     p/m,2 800 km,Used Car,Automatic
2019 Lamborghini Urus Urus,"Kramerville, Sandton",R 5 899 000,R            112 282     p/m,25 000 km,Used Car,Automatic
2021 Ferrari Portofino M,"Bryanston, Sandton",R 5 834 458,R            111 054     p/m,100 km,Used Car,Automatic
2014 Mercedes-Benz A-Class A200,,R 178 000,R            3 388     p/m,130 000 km,Used Car,Manual
