Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2022 Toyota Land Cruiser 300 3.3D ZX,"Waterfall Country Estate, Midrand",R 2 350 000,R            44 730     p/m,10 000 km,Used Car,Automatic
2021 Porsche Cayenne GTS Coupe,"Melrose North, Johannesburg",R 2 350 000,R            44 730     p/m,33 000 km,Used Car,Automatic
2021 Maserati Quattroporte Diesel GranLusso,"Bryanston, Sandton",R 2 349 999,R            44 730     p/m,3 000 km,Used Car,Automatic
2022 Toyota Land Cruiser Prado 2.8GD VX,"Melrose Arch, Johannesburg",R 2 349 990,R            44 730     p/m,50 km,Used Car,Automatic
2021 Jeep Grand Cherokee Trackhawk,"Melrose Arch, Johannesburg",R 2 349 990,R            44 730     p/m,5 000 km,Used Car,Automatic
2018 Land Rover Range Rover Sport HSE Dynamic Supercharged,"Melrose Arch, Johannesburg",R 2 349 990,R            44 730     p/m,29 000 km,Used Car,Automatic
2014 Porsche 911 GT3,"Beyers Park, Boksburg",R 2 349 950,R            44 729     p/m,11 000 km,Used Car,Automatic
,,,,11 000 km,Used Car,Automatic
2014 Porsche 911 GT3,"Bardene, Boksburg",R 2 349 950,R            44 729     p/m,11 000 km,Used Car,Automatic
2015 Porsche 911 GT3 Auto,"Vorna Valley, Midrand",R 2 349 900,R            44 728     p/m,15 000 km,Used Car,Automatic
2018 BMW 3 Series 318i M Sport auto,,R 369 000,R            7 024     p/m,94 000 km,Used Car,Automatic
2019 BMW 3 Series 320d M Sport,,R 659 000,R            12 543     p/m,53 000 km,Used Car,Automatic
2019 BMW 1 Series 118i M Sport,,R 569 000,R            10 830     p/m,35 500 km,Used Car,Automatic
2022 Audi e-tron 55 Quattro S Line,"Sandown, Sandton",R 2 312 097,R            44 009     p/m,35 500 km,Used Car,Automatic
2021 Porsche Cayenne GTS Coupe,"Melrose North, Johannesburg",R 2 300 000,R            43 778     p/m,31 500 km,Used Car,Automatic
2019 Porsche 911 Carrera S Coupe,"Needwood, Randburg",R 2 299 999,R            43 778     p/m,6 100 km,Used Car,Automatic
2015 Mercedes-Benz S-Class S63 AMG Coupe Edition 1,"Benoni Industrial, Benoni",R 2 299 999,R            43 778     p/m,5 500 km,Used Car,Automatic
2015 Mercedes-Benz S-Class S63 AMG Coupe,"Benoni Industrial, Benoni",R 2 299 999,R            43 778     p/m,10 000 km,Used Car,Automatic
2018 Mercedes-AMG S-Class S63,"Benoni Industrial, Benoni",R 2 299 999,R            43 778     p/m,12 000 km,Used Car,Automatic
2020 Porsche Cayenne Turbo,"Benoni Industrial, Benoni",R 2 299 999,R            43 778     p/m,25 000 km,Used Car,Automatic
2020 Porsche 911 Carrera S Coupe Auto,"Morningside, Sandton",R 2 299 995,R            43 778     p/m,14 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 2 299 995,R            43 778     p/m,200 km,Used Car,Automatic
2020 Porsche 911 Carrera Coupe,"Morningside, Sandton",R 2 299 995,R            43 778     p/m,9 700 km,Used Car,Automatic
2008 Audi Q7 4.2 Quattro,,R 102 900,R            1 959     p/m,147 000 km,Used Car,Automatic
2018 Kia Picanto 1.0 STREET,,R 148 900,R            2 834     p/m,87 568 km,Used Car,Manual
2022 Suzuki Swift 1.2 GL Auto,,R 212 900,R            4 052     p/m,87 568 km,Used Car,Manual
2021 Land Rover Range Rover Sport HSE Dynamic Supercharged,"Morningside, Sandton",R 2 299 995,R            43 778     p/m,18 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 2 299 995,R            43 778     p/m,100 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 2 299 995,R            43 778     p/m,200 km,Used Car,Automatic
,,,,200 km,Used Car,Automatic
2020 Porsche 911 Carrera S Coupe Auto,"Morningside, Sandton",R 2 299 995,R            43 778     p/m,14 000 km,Used Car,Automatic
2018 Audi R8 Coupe 5.2 V10 Plus Quattro,"Melrose North, Johannesburg",R 2 299 990,R            43 778     p/m,33 000 km,Used Car,Automatic
2015 Porsche 911 GT3,"Woodmead, Sandton",R 2 299 950,R            43 777     p/m,18 000 km,Used Car,Automatic
2021 Mercedes-AMG C-Class C63 S Coupe,"Constantia Kloof, Roodepoort",R 2 299 950,R            43 777     p/m,11 900 km,Used Car,Automatic
2021 Land Rover Range Rover Sport HSE Dynamic Supercharged,"Weltevreden Park, Roodepoort",R 2 299 950,R            43 777     p/m,3 550 km,Used Car,Automatic
2008 BMW M3 Coupe M Dynamic Auto,"Vorna Valley, Midrand",R 2 299 900,R            43 776     p/m,1 000 km,Used Car,Automatic
2022 Toyota Land Cruiser 300 3.5T ZX,"Fourways, Sandton",R 2 299 900,R            43 776     p/m,1 100 km,Used Car,Automatic
2022 Ford Ranger 2.2TDCi Double Cab Hi-Rider XL Sport Auto,,R 499 890,R            9 515     p/m,4 600 km,Used Car,Automatic
2022 Ford Ranger 2.0Bi-Turbo Double Cab 4x4 Wildtrak,,R 749 890,R            14 273     p/m,4 800 km,Used Car,Automatic
2022 Ford Ranger 2.0Bi-Turbo Double Cab 4x4 Wildtrak,,R 749 890,R            14 273     p/m,3 600 km,Used Car,Automatic
2022 Toyota Land Cruiser 300 3.5T GR Sport,"Little Falls, Roodepoort",R 2 299 900,R            43 776     p/m,1 500 km,Used Car,Automatic
2020 Land Rover Range Rover Autobiography SDV8,"Kramerville, Sandton",R 2 299 000,R            43 759     p/m,53 000 km,Used Car,Automatic
2019 Mercedes-AMG S-Class S63 L,"Kramerville, Sandton",R 2 299 000,R            43 759     p/m,26 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Kramerville, Sandton",R 2 299 000,R            43 759     p/m,345 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Kramerville, Sandton",R 2 299 000,R            43 759     p/m,46 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Kramerville, Sandton",R 2 299 000,R            43 759     p/m,149 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Kramerville, Sandton",R 2 299 000,R            43 759     p/m,319 km,Used Car,Automatic
2022 Audi RS7 Sportback Quattro,"Bardene, Boksburg",R 2 299 000,R            43 759     p/m,5 000 km,Demo,Automatic
2020 Porsche Cayenne Turbo Coupe,"Paulshof, Sandton",R 2 295 000,R            43 683     p/m,42 900 km,Used Car,Automatic
2022 BMW M3 Competition M Xdrive,"Corporate Park, Midrand",R 2 285 000R 2 450 000,R            43 493     p/mR            46 633     p/m,16 km,Used Car,Automatic
2022 Haval H6 2.0T 4WD Super Luxury,,R 569 900,R            10 848     p/m,16 km,Used Car,Automatic
2003 Volkswagen Polo 1.9 TDi,,R 57 900,R            1 102     p/m,222 000 km,Used Car,Manual
2022 Toyota Corolla Cross 1.8 XS,,R 579 900,R            11 038     p/m,3 918 km,Used Car,Automatic
2022 Toyota Land Cruiser 300 3.5T GR Sport,"Northcliff, Randburg",R 2 269 900,R            43 205     p/m,45 km,Used Car,Automatic
1958 Mercedes-Benz SL 190 SL,"Kramerville, Sandton",POA,,55 000 km,Used Car,Manual
2022 Jaguar F-Pace SVR,"Bedfordview, Bedfordview",R 2 250 000,R            42 827     p/m,55 000 km,Used Car,Manual
2019 Audi R8 5.2 V10 plus Quattro,"Needwood, Randburg",R 2 250 000,R            42 827     p/m,29 500 km,Used Car,Automatic
2021 Maserati Levante Levante,"Bryanston, Sandton",R 2 249 999,R            42 827     p/m,15 000 km,Used Car,Automatic
2021 Toyota Land Cruiser 300 3.5T ZX,"Benoni Industrial, Benoni",POA,,10 000 km,Used Car,Automatic
2021 Mercedes-AMG C-Class C63 S Coupe,"Morningside, Sandton",R 2 249 995,R            42 827     p/m,2 600 km,Used Car,Automatic
2014 Porsche 911 GT3,"Lonehill, Sandton",R 2 249 900,R            42 825     p/m,14 000 km,Used Car,Automatic
2020 Porsche Cayenne Turbo,"Ormonde, Johannesburg",R 2 249 900,R            42 825     p/m,33 000 km,Used Car,Automatic
2009 Ferrari F430 Spider F1,"Mooikloof Equestrian Estate, Pretoria",R 2 249 000,R            42 808     p/m,20 900 km,Used Car,Automatic
,,,,20 900 km,Used Car,Automatic
2022 Lexus RX 350 EX,,R 1 183 000,R            22 517     p/m,20 900 km,Used Car,Automatic
2022 Lexus ES 300h SE,,R 976 900,R            18 594     p/m,20 900 km,Used Car,Automatic
2022 Lexus RX 350 EX,,R 1 183 000,R            22 517     p/m,20 900 km,Used Car,Automatic
2021 Mercedes-Benz GLS GLS400d 4Matic AMG Line,"Bryanston, Sandton",R 2 199 999,R            41 875     p/m,100 km,Used Car,Automatic
2019 Land Rover Range Rover Sport SVR,"Benoni Industrial, Benoni",R 2 199 999,R            41 875     p/m,51 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Bryanston, Sandton",R 2 199 999,R            41 875     p/m,100 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Bryanston, Sandton",R 2 199 999,R            41 875     p/m,200 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,4 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,100 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,100 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,100 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,100 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE TDV6,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,100 km,Used Car,Automatic
2022 Suzuki DZire 1.2 GL,,R 207 700,R            3 953     p/m,100 km,Used Car,Automatic
2014 Porsche 911 GT3,,R 2 349 950,R            44 729     p/m,11 000 km,Used Car,Automatic
2020 Toyota Hilux 2.8GD-6 Double Cab 4x4 Legend 50 Auto,,R 749 900,R            14 274     p/m,9 982 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,1 500 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE TDV6,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,100 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,100 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Morningside, Sandton",R 2 199 995,R            41 875     p/m,100 km,Used Car,Automatic
2021 Nissan Navara 2.5DDTi Double Cab LE 4x4 Auto,"Melrose Arch, Johannesburg",R 2 199 990,R            41 875     p/m,100 km,Used Car,Automatic
2021 Mercedes-Benz S-Class S560 L,"Sandton Central, Sandton",R 2 199 950,R            41 874     p/m,2 500 km,Used Car,Automatic
2022 BMW M3 Competition M Xdrive,"Woodmead, Sandton",R 2 199 950,R            41 874     p/m,300 km,Used Car,Automatic
2014 Bentley Continental GT V8 Coupe,"Paulshof, Sandton",R 2 199 950,R            41 874     p/m,17 462 km,Used Car,Automatic
,,,,17 462 km,Used Car,Automatic
2011 Porsche 911 Turbo S,"Paulshof, Sandton",R 2 199 950,R            41 874     p/m,14 000 km,Used Car,Automatic
2013 Bentley Continental GTC V8,"Barbeque Downs, Midrand",R 2 199 950,R            41 874     p/m,21 000 km,Used Car,Automatic
2020 Ford EcoSport 1.0T Titanium Auto,,R 329 900,R            6 279     p/m,20 000 km,Used Car,Automatic
2022 Ford EcoSport 1.5 Ambiente Black,,R 345 900,R            6 584     p/m,8 500 km,Used Car,Automatic
2020 Volkswagen Polo GTi,,R 459 900,R            8 754     p/m,23 000 km,Used Car,Automatic
2018 Land Rover Range Rover Autobiography SDV8,"Kensington B, Randburg",R 2 199 950,R            41 874     p/m,9 600 km,Used Car,Automatic
2018 Mercedes-AMG G-Class G63,"Kensington B, Randburg",R 2 199 950,R            41 874     p/m,11 000 km,Used Car,Automatic
2021 Audi RS6 Quattro,"Sunninghill, Sandton",R 2 199 950,R            41 874     p/m,15 000 km,Used Car,Automatic
2021 Mercedes-AMG C-Class C63 S Coupe,"Bryanston, Sandton",R 2 199 950,R            41 874     p/m,1 704 km,Used Car,Automatic
2019 Land Rover Range Rover Vogue SE SDV8,"Highveld Business Park, Centurion",R 2 199 900,R            41 873     p/m,55 500 km,Used Car,Automatic
2022 Audi e-tron 55 Quattro Advanced,"Centurion Central, Centurion",R 2 199 900,R            41 873     p/m,55 500 km,Used Car,Automatic
2022 Audi RS7 Sportback Quattro,"Braamfontein, Johannesburg",R 2 199 900,R            41 873     p/m,9 000 km,Used Car,Automatic
2019 Land Rover Range Rover Vogue SE Supercharged,"Morningside, Sandton",R 2 199 000,R            41 856     p/m,5 350 km,Used Car,Automatic
2021 Land Rover Range Rover Velar SVAutobiography Dynamic Edition,"Waterford Estates, Randburg",R 2 199 000,R            41 856     p/m,8 760 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Kramerville, Sandton",R 2 199 000,R            41 856     p/m,145 km,Used Car,Automatic
2018 Ford Ranger 2.2TDCi (Aircon),,R 189 950,R            3 616     p/m,192 000 km,Used Car,Manual
2015 Chevrolet Sonic Hatch 1.6 LS,,R 94 900,R            1 806     p/m,114 000 km,Used Car,Manual
2022 Suzuki Ertiga 1.5 Gl Auto,,R 312 900,R            5 956     p/m,101 km,Used Car,Automatic
2019 Land Rover Range Rover Sport SVR,"Kramerville, Sandton",R 2 199 000,R            41 856     p/m,44 000 km,Used Car,Automatic
2017 Audi R8 Coupe 5.2 V10 Plus Quattro,"Kramerville, Sandton",R 2 199 000,R            41 856     p/m,21 000 km,Used Car,Automatic
2021 Audi SQ8 TDI Quattro,"Rosebank, Johannesburg",R 2 199 000,R            41 856     p/m,10 500 km,Used Car,Automatic
2022 Land Rover Defender 90 D300 X,"Morningside, Sandton",R 2 194 600,R            41 772     p/m,10 500 km,Used Car,Automatic
2022 Porsche Cayenne GTS,"Sandown, Sandton",R 2 190 000,R            41 685     p/m,8 354 km,Used Car,Automatic
2021 BMW M5 M5 Competition,"Muckleneuk, Pretoria",R 2 179 950,R            41 493     p/m,17 850 km,Used Car,Automatic
2021 Toyota Land Cruiser 300 3.5T ZX,"Oakdene, Johannesburg",R 2 178 800,R            41 471     p/m,19 143 km,Used Car,Automatic
2022 Audi e-tron Sportback 55 Quattro S Line,"Waterkloof Glen, Pretoria",R 2 174 995,R            41 399     p/m,19 143 km,Used Car,Automatic
2022 Audi e-tron 55 Quattro Advanced,"Centurion Central, Centurion",R 2 168 098,R            41 268     p/m,19 143 km,Used Car,Automatic
2021 Audi SQ8 TDI Quattro,"Bardene, Boksburg",R 2 150 000,R            40 923     p/m,11 800 km,Used Car,Automatic
2021 Toyota Starlet 1.4 XS Auto,,R 239 990,R            4 568     p/m,25 000 km,Used Car,Automatic
2019 Mahindra XUV300 1.2T W8,,R 269 990,R            5 139     p/m,43 500 km,Used Car,Manual
2019 Mitsubishi Eclipse Cross 2.0 GLS AWD,,R 369 990,R            7 042     p/m,61 000 km,Used Car,Automatic
2018 Land Rover Range Rover Sport SVR,"Edenvale Central, Edenvale",R 2 150 000,R            40 923     p/m,40 411 km,Used Car,Automatic
2013 Aston Martin Vanquish Coupe,"Needwood, Randburg",R 2 150 000,R            40 923     p/m,15 500 km,Used Car,Automatic
,,,,15 500 km,Used Car,Automatic
2018 Land Rover Range Rover Sport SVR,"Benoni Industrial, Benoni",R 2 149 999,R            40 923     p/m,28 000 km,Used Car,Automatic
2018 Land Rover Range Rover L Autobiography Supercharged,"Vorna Valley, Midrand",R 2 149 900,R            40 921     p/m,64 000 km,Used Car,Automatic
2022 Porsche Cayenne GTS,"Paulshof, Sandton",R 2 145 000,R            40 828     p/m,1 500 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Benoni Industrial, Benoni",R 2 099 999,R            39 972     p/m,100 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Benoni Industrial, Benoni",R 2 099 999,R            39 972     p/m,100 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Benoni Industrial, Benoni",R 2 099 999,R            39 972     p/m,100 km,Used Car,Automatic
2022 BMW M4 Competition Coupe,"Bedfordview, Bedfordview",R 2 099 999,R            39 972     p/m,500 km,Used Car,Automatic
2022 BMW M3 Competition M Xdrive,"Bryanston, Sandton",R 2 099 999,R            39 972     p/m,10 000 km,Used Car,Automatic
2021 Mazda Mazda2 1.5 Dynamic Auto,,R 309 900,R            5 899     p/m,15 963 km,Used Car,Automatic
2013 Toyota RAV4 2.0 GX,,R 239 950,R            4 567     p/m,186 000 km,Used Car,Manual
2020 Honda CR-V 2.0 Comfort,,R 459 800,R            8 752     p/m,26 500 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Morningside, Sandton",R 2 099 995,R            39 971     p/m,100 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE TDV6,"Morningside, Sandton",R 2 099 995,R            39 971     p/m,100 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE TDV6,"Morningside, Sandton",R 2 099 995,R            39 971     p/m,100 km,Used Car,Automatic
2022 Audi e-tron 55 Quattro S Line,"Waterkloof Glen, Pretoria",R 2 099 995,R            39 971     p/m,100 km,Used Car,Automatic
,,,,100 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Woodmead, Sandton",R 2 099 950,R            39 971     p/m,400 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Woodmead, Sandton",R 2 099 950,R            39 971     p/m,150 km,Used Car,Automatic
2021 Mercedes-AMG GLE GLE53 4Matic+,"Constantia Kloof, Roodepoort",R 2 099 950,R            39 971     p/m,16 500 km,Used Car,Automatic
2019 Land Rover Range Rover Sport SVR,"Morningside, Sandton",R 2 099 900,R            39 970     p/m,48 520 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Bryanston, Sandton",R 2 099 900,R            39 970     p/m,1 524 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Northcliff, Randburg",R 2 099 900,R            39 970     p/m,130 km,Used Car,Automatic
2016 Mercedes-Benz C-Class C180 AMG Line Auto,,R 339 900,R            6 470     p/m,128 000 km,Used Car,Automatic
2016 Mercedes-Benz C-Class C220d Coupe AMG Line Auto,,R 439 900,R            8 373     p/m,79 000 km,Used Car,Automatic
2018 Volkswagen Golf R Auto,,R 589 900,R            11 228     p/m,65 000 km,Used Car,Automatic
2021 BMW X7 M50i,"Sandton Central, Sandton",R 2 099 900,R            39 970     p/m,9 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Sandown, Sandton",R 2 099 900,R            39 970     p/m,50 km,Used Car,Automatic
2022 Jaguar F-Pace SVR,"Morningside, Sandton",R 2 099 459,R            39 961     p/m,50 km,Used Car,Automatic
2021 BMW M3 Competition,"Kramerville, Sandton",R 2 099 000,R            39 953     p/m,5 000 km,Used Car,Automatic
2014 Porsche 911 Turbo S Coupe,"Beyers Park, Boksburg",R 2 099 000,R            39 953     p/m,25 000 km,Used Car,Automatic
2014 Porsche 911 Turbo S Coupe,"Bardene, Boksburg",R 2 099 000,R            39 953     p/m,25 000 km,Used Car,Automatic
2019 Porsche Cayenne Turbo,"Lonehill, Sandton",R 2 095 000,R            39 876     p/m,14 000 km,Used Car,Automatic
2019 Land Rover Range Rover Vogue SDV8,"Morningside, Sandton",R 2 089 000,R            39 762     p/m,36 000 km,Used Car,Automatic
2022 Jaguar F-Pace SVR,"Waterford Estates, Randburg",R 2 089 000,R            39 762     p/m,36 000 km,Used Car,Automatic
2022 BMW X4 M competition,"Northcliff, Randburg",R 2 079 900,R            39 589     p/m,4 053 km,Used Car,Automatic
2018 Hyundai i20 1.4 Fluid,,R 197 900,R            3 767     p/m,99 000 km,Used Car,Manual
2019 Mazda CX-5 2.0 Dynamic Auto,,R 379 900,R            7 231     p/m,61 497 km,Used Car,Automatic
2019 Isuzu D-Max 250 Double Cab X-Rider,,R 345 000,R            6 567     p/m,121 000 km,Used Car,Manual
2022 Mercedes-Benz V-Class V300d Exclusive,"Waterford Estates, Randburg",R 2 069 000,R            39 382     p/m,80 km,Used Car,Automatic
2021 Mercedes-AMG GLE GLE53 4Matic+,"Melrose North, Johannesburg",R 2 050 000,R            39 020     p/m,14 000 km,Used Car,Automatic
2017 Audi R8 5.2 V10 plus Quattro,"Bardene, Boksburg",R 2 050 000,R            39 020     p/m,30 314 km,Used Car,Automatic
,,,,30 314 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Hurlingham Manor, Sandton",R 2 050 000,R            39 020     p/m,64 km,Used Car,Automatic
2021 Mercedes-Benz V-Class V300d Avantgarde AMG Line,"Constantia Kloof, Roodepoort",R 2 049 950,R            39 019     p/m,22 500 km,Used Car,Automatic
2022 Audi e-tron Sportback 55 Quattro S Line,"Sunninghill, Sandton",R 2 049 950,R            39 019     p/m,3 450 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Sandown, Sandton",R 2 049 900,R            39 018     p/m,150 km,Used Car,Automatic
2021 Mercedes-Benz V-Class V300d Exclusive,"Newlands, Pretoria",R 2 049 900,R            39 018     p/m,23 000 km,Used Car,Automatic
2022 Audi e-tron 55 Quattro S Line,"Sandton Central, Sandton",R 2 049 900,R            39 018     p/m,10 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Bryanston, Sandton",R 2 049 900,R            39 018     p/m,4 327 km,Used Car,Automatic
2021 Suzuki S-Presso 1.0 GL+,,R 142 900,R            2 720     p/m,13 500 km,Used Car,Manual
2020 Renault Sandero 66kW Turbo Stepway Expression,,R 179 900,R            3 424     p/m,86 000 km,Used Car,Manual
2020 Suzuki Ignis 1.2 GLX Auto,,R 209 900,R            3 995     p/m,19 500 km,Used Car,Automatic
2022 BMW 7 Series 730Ld M Sport,"Oakdene, Johannesburg",POA,,4 500 km,Used Car,Automatic
2012 Porsche 911 Carrera Cabriolet Auto,"Parkmore, Sandton",POA,,37 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Melrose North, Johannesburg",POA,,99 km,Used Car,Automatic
2011 Ferrari 612 Scaglietti F1A,"Benoni Industrial, Benoni",R 1 999 999,R            38 068     p/m,16 500 km,Used Car,Automatic
2016 BMW M4 GTS,"Benoni Industrial, Benoni",R 1 999 999,R            38 068     p/m,400 km,Used Car,Automatic
2021 Mercedes-Benz V-Class V300d Avantgarde AMG Line,"Benoni Industrial, Benoni",R 1 999 999,R            38 068     p/m,100 km,Used Car,Automatic
2014 Aston Martin Rapide Rapide S,"Benoni Industrial, Benoni",R 1 999 999,R            38 068     p/m,1 500 km,Used Car,Automatic
2010 KTM X-Bow RR,"Benoni Industrial, Benoni",R 1 999 999,R            38 068     p/m,7 000 km,Used Car,Manual
2020 Porsche Cayenne GTS,"Bryanston, Sandton",R 1 999 999,R            38 068     p/m,19 000 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Oakdene, Johannesburg",R 1 999 995,R            38 068     p/m,250 km,Used Car,Automatic
2022 Mazda BT-50 3.0TD Double Cab Dynamic,,R 759 900,R            14 464     p/m,101 km,Used Car,Automatic
2021 Audi A3 Sportback 30TFSI,,R 469 995,R            8 946     p/m,20 000 km,Used Car,Automatic
2017 Mercedes-Benz GLE GLE350d,,R 599 500,R            11 411     p/m,143 000 km,Used Car,Automatic
2021 BMW M4 Competition Coupe,"Morningside, Sandton",R 1 999 995,R            38 068     p/m,12 000 km,Used Car,Automatic
2013 Chevrolet Camaro SS Auto,"Morningside, Sandton",R 1 999 995,R            38 068     p/m,6 000 km,Used Car,Automatic
2021 BMW M4 Competition Coupe,"Morningside, Sandton",R 1 999 995,R            38 068     p/m,6 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE TDV6,"Morningside, Sandton",R 1 999 995,R            38 068     p/m,100 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE TDV6,"Morningside, Sandton",R 1 999 995,R            38 068     p/m,100 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE TDV6,"Morningside, Sandton",R 1 999 995,R            38 068     p/m,100 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE TDV6,"Morningside, Sandton",R 1 999 995,R            38 068     p/m,100 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Morningside, Sandton",R 1 999 995,R            38 068     p/m,100 km,Used Car,Automatic
,,,,100 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Oakdene, Johannesburg",R 1 999 995,R            38 068     p/m,250 km,Used Car,Automatic
2015 BMW X5 xDrive50i,"Melrose Arch, Johannesburg",R 1 999 990,R            38 068     p/m,125 000 km,Used Car,Automatic
2014 Ford Ikon 1.6 Ambiente,,R 89 950,R            1 712     p/m,54 250 km,Used Car,Manual
2017 Mercedes-Benz CLA CLA200 AMG Line Auto,,R 394 950,R            7 518     p/m,93 250 km,Used Car,Automatic
2011 Opel Corsa 1.4 Essentia,,R 104 950,R            1 998     p/m,168 800 km,Used Car,Manual
2017 Mercedes-Benz G-Class G350d Designo,"Melrose Arch, Johannesburg",R 1 999 990,R            38 068     p/m,25 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Benoni Industrial, Benoni",R 1 999 990,R            38 068     p/m,11 563 km,Used Car,Automatic
2000 Ferrari 360 Modena Auto,"Needwood, Randburg",R 1 999 950,R            38 067     p/m,43 400 km,Used Car,Automatic
2019 BMW 7 Series 750i M Sport,"Woodmead, Sandton",R 1 999 950,R            38 067     p/m,72 000 km,Used Car,Automatic
1989 Ferrari 328 GTS,"Paulshof, Sandton",R 1 999 950,R            38 067     p/m,37 000 km,Used Car,Manual
2001 Ferrari 360 Modena Auto,"Paulshof, Sandton",R 1 999 950,R            38 067     p/m,17 000 km,Used Car,Automatic
2016 Land Rover Range Rover Sport HSE Dynamic Supercharged,"Paulshof, Sandton",R 1 999 950,R            38 067     p/m,41 000 km,Used Car,Automatic
2012 Ferrari California California,"Barbeque Downs, Midrand",R 1 999 950,R            38 067     p/m,22 000 km,Used Car,Automatic
2019 Mercedes-AMG GLE GLE63 S coupe,"Woodmead, Sandton",R 1 999 950,R            38 067     p/m,37 000 km,Used Car,Automatic
2009 Lamborghini Gallardo LP520-4 Spyder,"Vorna Valley, Midrand",R 1 999 900,R            38 066     p/m,23 000 km,Used Car,Automatic
2022 Nissan Navara 2.5DDTi SE,,R 419 900,R            7 992     p/m,14 520 km,Used Car,Manual
2022 Toyota Corolla 2.0 XR Auto,,R 439 950,R            8 374     p/m,5 000 km,Used Car,Automatic
2017 Land Rover Range Rover Evoque SE SD4,,R 619 900,R            11 799     p/m,55 000 km,Used Car,Automatic
2021 Maserati Levante Levante,"Vorna Valley, Midrand",R 1 999 900,R            38 066     p/m,7 400 km,Used Car,Automatic
2006 Lamborghini Gallardo Gallardo,"Zwartkop, Centurion",R 1 999 900,R            38 066     p/m,35 000 km,Used Car,Manual
2020 BMW X7 M50i,"Sandton Central, Sandton",R 1 999 900,R            38 066     p/m,10 000 km,Used Car,Automatic
2021 BMW M2 M2 CS Auto,"Sandton Central, Sandton",R 1 999 900,R            38 066     p/m,1 000 km,Used Car,Automatic
